0.35,0.68,-0.08
0.36,0.64,-0.09
0.36,0.60,-0.11
0.36,0.55,-0.13
0.36,0.51,-0.14
0.35,0.47,-0.14
0.36,0.43,-0.15
0.38,0.40,-0.15
0.41,0.36,-0.18
0.43,0.32,-0.20
0.44,0.28,-0.21
0.44,0.22,-0.22
0.44,0.17,-0.24
0.46,0.13,-0.25
0.46,0.10,-0.26
0.45,0.07,-0.28
0.46,0.07,-0.29
0.48,0.02,-0.29
0.49,0.00,-0.30
0.51,-0.02,-0.30
0.51,-0.04,-0.28
0.49,-0.06,-0.25
0.49,-0.08,-0.21
0.50,-0.09,-0.17
0.50,-0.09,-0.12
0.52,-0.09,-0.07
0.56,-0.07,-0.02
0.58,-0.07,-0.01
0.59,-0.07,-0.01
0.58,-0.06,0.01
0.56,-0.06,0.03
0.54,-0.07,0.05
0.54,-0.07,0.08
0.54,-0.06,0.09
0.55,-0.02,0.09
0.56,0.00,0.09
0.56,0.02,0.11
0.54,0.04,0.11
0.53,0.05,0.11
0.51,0.07,0.11
0.48,0.07,0.09
0.46,0.10,0.07
0.45,0.11,0.05
0.45,0.18,0.02
0.47,0.21,0.01
0.49,0.21,0.00
0.51,0.22,0.01
0.54,0.25,0.02
0.56,0.29,0.02
0.59,0.39,0.13
0.73,0.54,0.16
0.83,0.59,0.16
0.92,0.64,0.13
1.00,0.76,0.13
1.05,0.74,0.07
1.22,0.75,0.08
1.26,1.14,0.06
1.23,1.27,0.01
1.09,1.16,0.06
1.01,1.17,0.01
0.89,1.18,0.00
0.75,1.18,-0.05
0.69,1.16,-0.14
0.55,1.13,-0.21
0.37,1.08,-0.23
0.20,1.01,-0.27
-0.02,0.89,-0.32
-0.13,0.85,-0.40
-0.23,0.82,-0.44
-0.30,0.76,-0.49
-0.39,0.68,-0.46
-0.42,0.62,-0.45
-0.42,0.57,-0.40
-0.42,0.54,-0.34
-0.37,0.53,-0.31
-0.28,0.50,-0.22
-0.25,0.49,-0.18
-0.22,0.47,-0.12
-0.15,0.45,-0.10
-0.06,0.47,-0.05
0.02,0.46,-0.00
0.08,0.45,0.01
0.09,0.42,0.00
0.05,0.30,0.06
0.00,0.22,0.07
-0.04,0.16,0.08
-0.10,0.10,0.11
-0.15,0.04,0.14
-0.16,-0.02,0.19
-0.19,-0.08,0.24
-0.25,-0.14,0.28
-0.31,-0.20,0.31
-0.44,-0.29,0.31
-0.47,-0.36,0.31
-0.51,-0.46,0.36
-0.58,-0.57,0.38
-0.65,-0.66,0.33
