-0.45,0.94,-0.94
-0.48,0.99,-1.01
-0.52,1.02,-1.06
-0.59,1.12,-1.16
-0.62,1.19,-1.20
-0.64,1.29,-1.24
-0.66,1.40,-1.28
-0.66,1.50,-1.31
-0.66,1.55,-1.33
-0.66,1.57,-1.33
-0.68,1.60,-1.29
-0.67,1.62,-1.29
-0.66,1.67,-1.28
-0.59,1.78,-1.24
-0.59,1.77,-1.22
-0.59,1.76,-1.17
-0.59,1.74,-1.10
-0.59,1.73,-1.01
-0.57,1.73,-0.91
-0.56,1.70,-0.81
-0.56,1.68,-0.71
-0.58,1.64,-0.46
-0.58,1.60,-0.38
-0.60,1.58,-0.31
-0.58,1.55,-0.24
-0.58,1.51,-0.18
-0.58,1.46,-0.11
-0.59,1.41,-0.03
-0.59,1.35,0.07
-0.58,1.30,0.18
-0.57,1.19,0.40
-0.56,1.15,0.51
-0.56,1.10,0.61
-0.54,1.03,0.70
-0.51,0.95,0.76
-0.47,0.88,0.81
-0.41,0.81,0.84
-0.27,0.67,0.90
-0.18,0.61,0.93
-0.10,0.55,0.94
-0.03,0.48,0.92
0.02,0.40,0.88
0.08,0.32,0.82
0.13,0.25,0.72
0.17,0.17,0.60
0.19,0.08,0.47
0.24,-0.10,0.25
0.26,-0.18,0.13
0.30,-0.26,0.03
0.33,-0.35,-0.06
0.37,-0.44,-0.16
0.41,-0.53,-0.25
0.43,-0.60,-0.33
0.45,-0.66,-0.43
0.47,-0.71,-0.53
0.61,-0.71,-0.63
0.66,-0.69,-0.71
0.66,-0.69,-0.76
0.63,-0.67,-0.80
0.58,-0.64,-0.82
0.53,-0.60,-0.83
0.48,-0.52,-0.83
0.42,-0.40,-0.86
0.33,-0.16,-0.93
0.27,-0.04,-0.95
0.23,0.07,-0.94
0.17,0.18,-0.92
0.07,0.28,-0.89
-0.04,0.37,-0.86
-0.14,0.47,-0.83
-0.24,0.56,-0.79
-0.31,0.66,-0.77
-0.39,0.95,-0.72
-0.41,1.08,-0.66
-0.48,1.18,-0.60
-0.57,1.25,-0.53
-0.67,1.32,-0.45
-0.76,1.39,-0.36
-0.88,1.45,-0.27
-0.99,1.51,-0.15
-1.09,1.57,0.10
-1.14,1.59,0.28
-1.15,1.59,0.46
-1.16,1.58,0.62
-1.17,1.55,0.77
-1.13,1.49,0.93
-1.09,1.40,1.08
-1.03,1.30,1.25
-0.99,1.24,1.43
-0.94,1.11,1.79
-0.96,1.04,1.96
-0.97,0.97,2.09
-0.99,0.90,2.18
-1.02,0.82,2.23
-1.06,0.74,2.22
-1.14,0.66,2.15
-1.30,0.64,2.15
-1.44,0.64,2.15
-1.76,0.63,2.01
-1.94,0.63,1.88
-2.15,0.63,1.74
-2.37,0.63,1.60
-2.63,0.61,1.42
-2.90,0.60,1.25
-3.16,0.60,1.11
-3.46,0.61,0.98
-3.93,0.61,0.70
-4.11,0.63,0.59
-4.24,0.66,0.51
-4.37,0.68,0.42
-4.57,0.72,0.35
-4.76,0.78,0.31
-4.93,0.83,0.31
-5.03,0.85,0.33
-5.13,0.86,0.37
-5.21,0.96,0.40
-5.27,1.02,0.43
-5.28,1.10,0.47
-5.38,1.20,0.52
-5.49,1.28,0.58
-5.53,1.35,0.68
-5.56,1.42,0.82
-5.61,1.50,0.95
-5.67,1.62,0.99
-5.71,1.85,0.97
-5.71,1.98,0.94
-5.78,2.11,0.93
-5.91,2.25,0.91
-6.04,2.43,0.88
-6.17,2.60,0.85
-6.20,2.73,0.85
-6.15,2.83,0.85
-5.97,3.00,0.79
-5.81,3.13,0.71
-5.66,3.29,0.58
-5.54,3.39,0.52
-5.40,3.53,0.41
-5.28,3.67,0.31
-5.22,3.78,0.22
-5.19,3.85,0.17
-5.17,3.89,0.11
-5.16,3.89,-0.00
-5.14,3.72,-0.24
-5.08,3.62,-0.34
-5.02,3.48,-0.43
-4.95,3.30,-0.56
-4.84,3.06,-0.67
-4.79,2.75,-0.74
-4.70,2.43,-0.83
-4.58,2.09,-0.91
-4.30,1.27,-1.03
-4.17,0.91,-1.05
-4.10,0.65,-1.05
-4.04,0.41,-1.03
-3.99,0.14,-1.01
-3.91,-0.16,-0.97
-3.93,-0.52,-0.89
-3.94,-0.94,-0.81
-3.83,-1.70,-0.66
-3.79,-2.07,-0.57
-3.66,-2.45,-0.50
-3.41,-2.77,-0.46
-3.04,-3.02,-0.46
-2.58,-3.16,-0.50
-2.10,-3.17,-0.55
-1.73,-3.11,-0.60
-1.31,-2.81,-0.65
-1.26,-2.60,-0.61
-1.31,-2.35,-0.55
-1.43,-2.09,-0.46
-1.57,-1.80,-0.37
-1.70,-1.52,-0.27
-1.81,-1.26,-0.18
-1.89,-1.01,-0.11
-1.92,-0.78,-0.07
-1.86,-0.36,-0.01
-1.81,-0.18,-0.00
-1.78,-0.03,-0.00
-1.74,0.12,-0.00
-1.68,0.24,-0.00
-1.60,0.34,-0.01
-1.52,0.43,0.01
-1.44,0.51,0.02
-1.26,0.69,0.09
-1.14,0.79,0.14
-0.00,0.88,0.18
-0.88,0.95,0.22
-0.80,0.98,0.25
-0.71,1.01,0.28
-0.64,1.04,0.32
-0.58,1.07,0.36
-0.52,1.09,0.42
-0.23,1.17,0.53
-0.15,1.21,0.56
-0.05,1.26,0.57
0.10,1.30,0.60
0.23,1.32,0.61
0.32,1.34,0.62
0.39,1.38,0.62
0.45,1.41,0.65
0.59,1.51,0.70
0.65,1.55,0.72
0.70,1.57,0.75
0.76,1.55,0.76
0.80,1.51,0.77
0.85,1.47,0.76
0.89,1.44,0.74
0.89,1.42,0.70
0.87,1.39,0.65
0.75,1.32,0.56
0.69,1.26,0.53
0.68,1.19,0.52
0.70,1.13,0.52
0.72,1.10,0.50
0.72,1.08,0.48
0.70,1.08,0.46
0.68,1.08,0.43
0.59,1.05,0.36
0.54,1.03,0.35
0.47,1.00,0.34
0.42,0.97,0.35
0.37,0.93,0.38
0.34,0.91,0.41
0.34,0.90,0.43
0.36,0.88,0.43
0.43,0.89,0.42
0.44,0.88,0.41
0.43,0.88,0.42
0.44,0.88,0.43
0.43,0.87,0.46
0.40,0.85,0.49
0.37,0.83,0.52
0.36,0.81,0.55
0.39,0.79,0.57
0.49,0.78,0.60
0.52,0.79,0.59
0.52,0.80,0.57
0.51,0.83,0.55
0.52,0.85,0.52
0.51,0.88,0.51
0.51,0.92,0.50
0.52,0.97,0.51
0.56,1.02,0.55
0.57,1.04,0.55
0.57,1.06,0.54
0.55,1.07,0.52
0.54,1.09,0.49
0.52,1.10,0.45
0.51,1.11,0.41
0.49,1.10,0.39
0.45,1.05,0.38
0.42,1.01,0.37
0.39,0.98,0.37
0.38,0.96,0.36
0.37,0.95,0.34
0.35,0.94,0.32
0.33,0.92,0.29
0.32,0.89,0.27
0.31,0.85,0.27
0.29,0.80,0.27
0.28,0.78,0.28
