-5.74,3.06,-0.17
-5.26,1.86,0.62
-5.01,1.93,0.55
-4.70,1.95,0.53
-5.09,3.15,-0.50
-5.48,3.32,-0.36
-4.59,1.92,0.57
-4.91,3.08,-0.51
-5.13,1.89,0.58
-5.53,3.23,-0.31
-5.95,2.96,-0.04
-5.25,3.25,-0.45
-5.63,3.13,-0.24
-5.54,1.95,0.69
-4.50,1.84,0.62
-5.37,3.32,-0.40
-4.37,1.73,0.66
-4.73,2.00,-0.52
-5.67,2.00,0.71
-3.82,1.41,0.65
-6.11,2.95,0.04
-5.80,2.07,0.74
-5.40,1.89,0.66
-4.40,2.81,-0.54
-3.63,1.38,0.59
-4.18,1.61,0.67
-3.99,1.50,0.67
-4.26,2.71,-0.55
-3.46,1.33,0.55
-5.94,2.14,0.77
-3.76,1.99,-0.69
-6.19,2.29,0.66
-6.23,2.94,0.07
-4.00,2.40,-0.59
-2.91,1.07,0.59
-6.29,2.35,0.56
-6.31,2.84,0.14
-3.09,1.18,0.56
-2.42,0.90,0.81
-1.38,0.73,1.13
-4.10,2.59,-0.57
-3.30,-0.51,-0.53
